"site","year","mean","lower.ci","upper.ci"
"Alberton",2009,0.828614832205489,0.470573501401694,1.45907608079451
"Alberton",2010,2.0613072677705,1.4496381673971,2.93106772967546
"Alberton",2011,2.27408737283064,1.65470845253982,3.12530788812377
"Alberton",2012,2.84260921603829,2.06838556567405,3.90663486015603
"Alberton",2013,5.46080191502103,4.34139185819545,6.86884725662441
"Alberton",2014,8.650236657418,6.60852164454787,11.3227433084177
"Alberton",2015,9.20107719928208,7.41032851973727,11.4245706383541
"Alberton",2016,3.41113105924591,2.17578405979097,5.34787220771809
"Alberton",2017,11.9090365050863,10.3641917693085,13.6841495831316
"Alberton",2018,11.3039430813219,9.7262310954729,13.1375789791012
"Alberton",2019,8.49790544584084,7.20907153775175,10.0171563825225
"Alberton",2020,9.27588270496714,7.92471839871668,10.8574204946187
"Arisaig",2008,0,0,0
"Arisaig",2009,0.215439856373732,0.069482588750133,0.667999459278138
"Arisaig",2010,0.119688809096359,0.0299331325243193,0.478580416241629
"Arisaig",2011,0.128238009746093,0.0320712128233656,0.512764741209224
"Arisaig",2012,0.0598444045482659,0.00842960264113247,0.424854279401167
"Arisaig",2013,1.23429084380613,0.812713350400651,1.87455255454167
"Bedeque",2008,0,0,0
"Cape Egmont",2014,0.179533213644525,0.0579021062575769,0.556666706702279
"Cape Egmont",2015,0.119688809096354,0.0299331325243188,0.478580416241602
"Cape Egmont",2016,0,0,0
"Cape Egmont",2017,0.119688809096348,0.0299331325243173,0.478580416241575
"Cape Egmont",2018,0.287253141831307,0.107809329748572,0.765373160972181
"Cape Egmont",2019,1.01735487731896,0.632443858510563,1.63652620304067
"Cape Egmont",2020,0.299222022740876,0.124542524593686,0.718901589519251
"Caraquet",2008,0,0,0
"Covehead",2008,0.371448028230107,0.166874558540491,0.826810502947676
"Covehead",2009,0.538599640933573,0.280237992577937,1.03515433630255
"Covehead",2010,0.531950262650462,0.266023700813426,1.0637062828186
"Covehead",2011,1.19688809096352,0.772174752485781,1.85520323952405
"Covehead",2012,0.93091295963828,0.551330113884804,1.571833129731
"Covehead",2013,2.12780105060183,1.50471987764894,3.00889047735338
"Covehead",2014,3.20037467801114,2.35647607963563,4.34648930586159
"Covehead",2015,1.87013764213054,1.26365969852458,2.76768722196101
"Covehead",2016,1.16168550005279,0.643334631700711,2.09768468000137
"Covehead",2017,3.45256180085616,2.61674361116953,4.55534999220024
"Covehead",2018,13.741195967408,11.9586828107411,15.7894033651526
"Covehead",2019,2.28496817365761,1.57766658813645,3.30936814780073
"Covehead",2020,2.16678016467529,1.55572519900544,3.01784420862483
"Fortune",2009,0.185724014115024,0.0598987304222576,0.575862112198964
"Fortune",2010,1.91914814585521,1.34966312136572,2.7289251276367
"Fortune",2011,0.4787552363854,0.239421317511855,0.95733570739828
"Fortune",2012,1.98105615056028,1.40094609298348,2.80138078925994
"Fortune",2013,3.71890228263666,2.8750438635533,4.81044284684658
"Fortune",2014,1.11434408469015,0.702078215295246,1.76869572653202
"Fortune",2015,0.239377618192704,0.0898410800462559,0.637811166808206
"Fortune",2016,0.359066427289039,0.161312062629007,0.79925020550156
"Fortune",2017,0.97460887407024,0.621652588925725,1.52796348690177
"Fortune",2018,0.923313670171837,0.581721949809715,1.4654907448568
"Fortune",2019,0.961785073095668,0.579822014839457,1.59536979134151
"Fortune",2020,1.03367607855937,0.659328502967563,1.62056733567069
"Murray Harbour",2009,0,0,0
"Murray Harbour",2010,1.01735487731901,0.632443858622448,1.63652620275129
"Murray Harbour",2011,0,0,0
"Murray Harbour",2012,0.652848049616449,0.245021118957262,1.73948506031574
"Murray Harbour",2014,0.32059502436522,0.133438418763938,0.770251705616831
"Murray Harbour",2015,0,0,0
"Murray Harbour",2016,0,0,0
"Murray Harbour",2017,1.11434408469012,0.702078215268891,1.76869572659833
"Murray Harbour",2018,0.897666068222629,0.541167213632514,1.48901180585094
"Murray Harbour",2019,0.690512360171256,0.287405820579727,1.65900369932491
"Murray Harbour",2020,1.23816009410019,0.798801466975911,1.9191757676985
"Neguac",2008,0.538599640933555,0.280237984593073,1.03515436579729
"Nine Mile Creek",2009,0.0598444045482643,0.00842960264113241,0.424854279401147
"Nine Mile Creek",2010,0,0,0
"Nine Mile Creek",2011,0,0,0
"Nine Mile Creek",2012,0,0,0
"Nine Mile Creek",2013,0,0,0
"Nine Mile Creek",2014,0.0598444045482635,0.00842960264113202,0.424854279401155
"Nine Mile Creek",2015,0,0,0
"Nine Mile Creek",2016,0,0,0
"Nine Mile Creek",2017,0,0,0
"Nine Mile Creek",2018,0,0,0
"Nine Mile Creek",2019,0,0,0
"Nine Mile Creek",2020,0,0,0
"Shediac",2008,0,0,0
"Skinner's Pond",2009,0.14362657091562,0.0359197575160906,0.574296523681677
"Skinner's Pond",2010,0.418910831837224,0.199706287203952,0.878721884460942
"Skinner's Pond",2011,0.512952038984541,0.256522916738852,1.02571652327758
"Skinner's Pond",2012,0.641190048730444,0.344991399919713,1.19169544135485
"Skinner's Pond",2013,8.77717933373243,7.40058456825548,10.4098367292436
"Skinner's Pond",2014,8.3782166367445,7.09921948330342,9.88763823647263
"Skinner's Pond",2015,2.81268701376425,2.11328767734342,3.74355480430525
"Skinner's Pond",2016,2.36227912690158,1.59620172437075,3.49602596476003
"Skinner's Pond",2017,10.053859964093,8.64291019159438,11.6951464190727
"Skinner's Pond",2018,21.3516286227238,19.1771732879113,23.7726404198525
"Skinner's Pond",2019,9.55373172608365,8.13651843964757,11.2177942655693
"Skinner's Pond",2020,4.4883303411131,3.57927213468177,5.62826979702328
"Wallace",2017,0,0,0
"Wallace",2018,0,0,0
"Wallace",2019,0,0,0
